"Region","Year","Age Range","Marijuana Use","Measure Type","Variable","Value"
"North Central Region","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.44
"North Central Region","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",6.97
"North Central Region","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.31
"North Central Region","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",12.45
"North Central Region","2004-2006","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"North Central Region","2004-2006","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"North Central Region","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.45
"North Central Region","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.44
"North Central Region","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.45
"North Central Region","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.78
"North Central Region","2006-2008","12-17","First Use of Marijuana","Percent","Margins of Error",1.31
"North Central Region","2006-2008","12-17","First Use of Marijuana","Percent","Marijuana Use",6.54
"North Central Region","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.03
"North Central Region","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.08
"North Central Region","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",2.9
"North Central Region","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.65
"North Central Region","2006-2008","18-25","First Use of Marijuana","Percent","Margins of Error",1.99
"North Central Region","2006-2008","18-25","First Use of Marijuana","Percent","Marijuana Use",7.65
"North Central Region","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.08
"North Central Region","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",23.36
"North Central Region","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",4.78
"North Central Region","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",37.57
"North Central Region","2006-2008","Over 17","First Use of Marijuana","Percent","Margins of Error",0.23
"North Central Region","2006-2008","Over 17","First Use of Marijuana","Percent","Marijuana Use",0.97
"North Central Region","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.52
"North Central Region","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.21
"North Central Region","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",1.98
"North Central Region","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",12.1
"North Central Region","2006-2008","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"North Central Region","2006-2008","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"North Central Region","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.45
"North Central Region","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.75
"North Central Region","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",1.98
"North Central Region","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.23
"North Central Region","2008-2010","12-17","First Use of Marijuana","Percent","Margins of Error",1.51
"North Central Region","2008-2010","12-17","First Use of Marijuana","Percent","Marijuana Use",8.12
"North Central Region","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.04
"North Central Region","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.39
"North Central Region","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",2.96
"North Central Region","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",17.26
"North Central Region","2008-2010","18-25","First Use of Marijuana","Percent","Margins of Error",2.81
"North Central Region","2008-2010","18-25","First Use of Marijuana","Percent","Marijuana Use",10.53
"North Central Region","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",3.89
"North Central Region","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",23.35
"North Central Region","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",4.73
"North Central Region","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",40.31
"North Central Region","2008-2010","Over 17","First Use of Marijuana","Percent","Margins of Error",0.33
"North Central Region","2008-2010","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.34
"North Central Region","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.52
"North Central Region","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.45
"North Central Region","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.22
"North Central Region","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.78
"North Central Region","2008-2010","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"North Central Region","2008-2010","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"North Central Region","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.47
"North Central Region","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.98
"North Central Region","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.27
"North Central Region","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",9.66
"North Central Region","2010-2012","12-17","First Use of Marijuana","Percent","Margins of Error",1.61
"North Central Region","2010-2012","12-17","First Use of Marijuana","Percent","Marijuana Use",7.42
"North Central Region","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.03
"North Central Region","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.19
"North Central Region","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",2.97
"North Central Region","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",16.91
"North Central Region","2010-2012","18-25","First Use of Marijuana","Percent","Margins of Error",2.79
"North Central Region","2010-2012","18-25","First Use of Marijuana","Percent","Marijuana Use",9.92
"North Central Region","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.04
"North Central Region","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",23.94
"North Central Region","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",4.67
"North Central Region","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",41.5
"North Central Region","2010-2012","Over 17","First Use of Marijuana","Percent","Margins of Error",0.32
"North Central Region","2010-2012","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.34
"North Central Region","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.72
"North Central Region","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.34
"North Central Region","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.29
"North Central Region","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.3
"North Central Region","2010-2012","Over 25","First Use of Marijuana","Percent","Margins of Error",0.1
"North Central Region","2010-2012","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.24
"North Central Region","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.7
"North Central Region","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",6.01
"North Central Region","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.35
"North Central Region","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",10.25
"North Central Region","2012-2014","12-17","First Use of Marijuana","Percent","Margins of Error",1.84
"North Central Region","2012-2014","12-17","First Use of Marijuana","Percent","Marijuana Use",9.14
"North Central Region","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",1.83
"North Central Region","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.03
"North Central Region","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.08
"North Central Region","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",17.23
"North Central Region","2012-2014","18-25","First Use of Marijuana","Percent","Margins of Error",2.3
"North Central Region","2012-2014","18-25","First Use of Marijuana","Percent","Marijuana Use",7.9
"North Central Region","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.16
"North Central Region","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",23.85
"North Central Region","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",4.73
"North Central Region","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",39.74
"North Central Region","2012-2014","Over 17","First Use of Marijuana","Percent","Margins of Error",0.32
"North Central Region","2012-2014","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.31
"North Central Region","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.93
"North Central Region","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",9.33
"North Central Region","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.38
"North Central Region","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",15.07
"North Central Region","2012-2014","Over 25","First Use of Marijuana","Percent","Margins of Error",0.12
"North Central Region","2012-2014","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.28
"North Central Region","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.99
"North Central Region","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",7.1
"North Central Region","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.48
"North Central Region","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",11.29
"North Central Region","2014-2016","12-17","First Use of Marijuana","Percent","Margins of Error",1.58
"North Central Region","2014-2016","12-17","First Use of Marijuana","Percent","Marijuana Use",6.35
"North Central Region","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",1.89
"North Central Region","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.22
"North Central Region","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",2.98
"North Central Region","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.74
"North Central Region","2014-2016","18-25","First Use of Marijuana","Percent","Margins of Error",2.47
"North Central Region","2014-2016","18-25","First Use of Marijuana","Percent","Marijuana Use",8.98
"North Central Region","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.45
"North Central Region","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",25.33
"North Central Region","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",5.53
"North Central Region","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",42.5
"North Central Region","2014-2016","Over 17","First Use of Marijuana","Percent","Margins of Error",0.34
"North Central Region","2014-2016","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.49
"North Central Region","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.7
"North Central Region","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",9.48
"North Central Region","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.18
"North Central Region","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",15.5
"North Central Region","2014-2016","Over 25","First Use of Marijuana","Percent","Margins of Error",0.14
"North Central Region","2014-2016","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.4
"North Central Region","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.64
"North Central Region","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",7.03
"North Central Region","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.12
"North Central Region","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",11.33
"Northeast","2004-2006","12-17","First Use of Marijuana","Percent","Margins of Error",0.28
"Northeast","2004-2006","12-17","First Use of Marijuana","Percent","Marijuana Use",6.12
"Northeast","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",0.45
"Northeast","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.91
"Northeast","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",0.56
"Northeast","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.84
"Northeast","2004-2006","18-25","First Use of Marijuana","Percent","Margins of Error",0.42
"Northeast","2004-2006","18-25","First Use of Marijuana","Percent","Marijuana Use",6.91
"Northeast","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",0.72
"Northeast","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",20.14
"Northeast","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",0.85
"Northeast","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",32.8
"Northeast","2004-2006","Over 17","First Use of Marijuana","Percent","Margins of Error",0.06
"Northeast","2004-2006","Over 17","First Use of Marijuana","Percent","Marijuana Use",0.95
"Northeast","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",0.31
"Northeast","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",6.74
"Northeast","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",0.41
"Northeast","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",11.27
"Northeast","2004-2006","Over 25","First Use of Marijuana","Percent","Margins of Error",0.04
"Northeast","2004-2006","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.15
"Northeast","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",0.35
"Northeast","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.56
"Northeast","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",0.44
"Northeast","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",7.77
"Northeast","2006-2008","12-17","First Use of Marijuana","Percent","Margins of Error",0.26
"Northeast","2006-2008","12-17","First Use of Marijuana","Percent","Marijuana Use",5.94
"Northeast","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",0.43
"Northeast","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.52
"Northeast","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",0.57
"Northeast","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.03
"Northeast","2006-2008","18-25","First Use of Marijuana","Percent","Margins of Error",0.44
"Northeast","2006-2008","18-25","First Use of Marijuana","Percent","Marijuana Use",7.18
"Northeast","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",0.8
"Northeast","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",19.67
"Northeast","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",0.86
"Northeast","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",32.1
"Northeast","2006-2008","Over 17","First Use of Marijuana","Percent","Margins of Error",0.08
"Northeast","2006-2008","Over 17","First Use of Marijuana","Percent","Marijuana Use",0.99
"Northeast","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",0.3
"Northeast","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",6.48
"Northeast","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",0.39
"Northeast","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",10.8
"Northeast","2006-2008","Over 25","First Use of Marijuana","Percent","Margins of Error",0.03
"Northeast","2006-2008","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.12
"Northeast","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",0.32
"Northeast","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.28
"Northeast","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",0.43
"Northeast","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",7.26
"Northeast","2008-2010","12-17","First Use of Marijuana","Percent","Margins of Error",0.26
"Northeast","2008-2010","12-17","First Use of Marijuana","Percent","Marijuana Use",6.09
"Northeast","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",0.47
"Northeast","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.28
"Northeast","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",0.58
"Northeast","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.48
"Northeast","2008-2010","18-25","First Use of Marijuana","Percent","Margins of Error",0.42
"Northeast","2008-2010","18-25","First Use of Marijuana","Percent","Marijuana Use",8.03
"Northeast","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",0.81
"Northeast","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",21.33
"Northeast","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",0.89
"Northeast","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",34.28
"Northeast","2008-2010","Over 17","First Use of Marijuana","Percent","Margins of Error",0.07
"Northeast","2008-2010","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.16
"Northeast","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",0.32
"Northeast","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.2
"Northeast","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",0.43
"Northeast","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",11.99
"Northeast","2008-2010","Over 25","First Use of Marijuana","Percent","Margins of Error",0.03
"Northeast","2008-2010","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.15
"Northeast","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",0.34
"Northeast","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.82
"Northeast","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",0.46
"Northeast","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.24
"Northeast","2010-2012","12-17","First Use of Marijuana","Percent","Margins of Error",0.28
"Northeast","2010-2012","12-17","First Use of Marijuana","Percent","Marijuana Use",6.27
"Northeast","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",0.45
"Northeast","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.25
"Northeast","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",0.6
"Northeast","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.65
"Northeast","2010-2012","18-25","First Use of Marijuana","Percent","Margins of Error",0.47
"Northeast","2010-2012","18-25","First Use of Marijuana","Percent","Marijuana Use",8.5
"Northeast","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",0.72
"Northeast","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",21.4
"Northeast","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",0.91
"Northeast","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",35.24
"Northeast","2010-2012","Over 17","First Use of Marijuana","Percent","Margins of Error",0.09
"Northeast","2010-2012","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.32
"Northeast","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",0.37
"Northeast","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.59
"Northeast","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",0.49
"Northeast","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",12.54
"Northeast","2010-2012","Over 25","First Use of Marijuana","Percent","Margins of Error",0.05
"Northeast","2010-2012","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.22
"Northeast","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",0.4
"Northeast","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",5.28
"Northeast","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",0.51
"Northeast","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.74
"Northeast","2012-2014","12-17","First Use of Marijuana","Percent","Margins of Error",0.27
"Northeast","2012-2014","12-17","First Use of Marijuana","Percent","Marijuana Use",5.9
"Northeast","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",0.44
"Northeast","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.69
"Northeast","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",0.61
"Northeast","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.01
"Northeast","2012-2014","18-25","First Use of Marijuana","Percent","Margins of Error",0.45
"Northeast","2012-2014","18-25","First Use of Marijuana","Percent","Marijuana Use",8.49
"Northeast","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",0.75
"Northeast","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",21.4
"Northeast","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",0.93
"Northeast","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",35.36
"Northeast","2012-2014","Over 17","First Use of Marijuana","Percent","Margins of Error",0.09
"Northeast","2012-2014","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.37
"Northeast","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",0.38
"Northeast","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.43
"Northeast","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",0.49
"Northeast","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.72
"Northeast","2012-2014","Over 25","First Use of Marijuana","Percent","Margins of Error",0.06
"Northeast","2012-2014","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.25
"Northeast","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",0.42
"Northeast","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",6.27
"Northeast","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",0.54
"Northeast","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",10.12
"Northeast","2014-2016","12-17","First Use of Marijuana","Percent","Margins of Error",0.27
"Northeast","2014-2016","12-17","First Use of Marijuana","Percent","Marijuana Use",5.4
"Northeast","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",0.45
"Northeast","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.32
"Northeast","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",0.62
"Northeast","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",12.89
"Northeast","2014-2016","18-25","First Use of Marijuana","Percent","Margins of Error",0.49
"Northeast","2014-2016","18-25","First Use of Marijuana","Percent","Marijuana Use",8.78
"Northeast","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",0.85
"Northeast","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",23.01
"Northeast","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",0.99
"Northeast","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",36.67
"Northeast","2014-2016","Over 17","First Use of Marijuana","Percent","Margins of Error",0.09
"Northeast","2014-2016","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.51
"Northeast","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",0.39
"Northeast","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",9.74
"Northeast","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",0.5
"Northeast","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",15.05
"Northeast","2014-2016","Over 25","First Use of Marijuana","Percent","Margins of Error",0.05
"Northeast","2014-2016","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.39
"Northeast","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",0.41
"Northeast","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",7.58
"Northeast","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",0.55
"Northeast","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",11.53
"Northwestern Region","2004-2006","12-17","First Use of Marijuana","Percent","Margins of Error",2.11
"Northwestern Region","2004-2006","12-17","First Use of Marijuana","Percent","Marijuana Use",8.69
"Northwestern Region","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.59
"Northwestern Region","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",9.2
"Northwestern Region","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.55
"Northwestern Region","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",19.1
"Northwestern Region","2004-2006","18-25","First Use of Marijuana","Percent","Margins of Error",3.03
"Northwestern Region","2004-2006","18-25","First Use of Marijuana","Percent","Marijuana Use",9.18
"Northwestern Region","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.61
"Northwestern Region","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",22.53
"Northwestern Region","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",-9999
"Northwestern Region","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",-9999
"Northwestern Region","2004-2006","Over 17","First Use of Marijuana","Percent","Margins of Error",0.34
"Northwestern Region","2004-2006","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.13
"Northwestern Region","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.72
"Northwestern Region","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",6.91
"Northwestern Region","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.5
"Northwestern Region","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",12.63
"Northwestern Region","2004-2006","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"Northwestern Region","2004-2006","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"Northwestern Region","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.74
"Northwestern Region","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.75
"Northwestern Region","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.62
"Northwestern Region","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.91
"Northwestern Region","2006-2008","12-17","First Use of Marijuana","Percent","Margins of Error",1.36
"Northwestern Region","2006-2008","12-17","First Use of Marijuana","Percent","Marijuana Use",5.25
"Northwestern Region","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.3
"Northwestern Region","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.61
"Northwestern Region","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",2.9
"Northwestern Region","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",12.54
"Northwestern Region","2006-2008","18-25","First Use of Marijuana","Percent","Margins of Error",1.93
"Northwestern Region","2006-2008","18-25","First Use of Marijuana","Percent","Marijuana Use",7.06
"Northwestern Region","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.11
